Step,Phi,Universe
10,-1.0996732842924213,Newtonian
20,-1.9559317634603135,Newtonian
30,-1.830439417691908,Newtonian
40,-1.797956790729452,Newtonian
50,-1.7828217657739596,Newtonian
60,-1.77402906204131,Newtonian
70,-1.7682717845694982,Newtonian
80,-1.764205326235951,Newtonian
90,-1.7611783444742326,Newtonian
100,-1.7588364979937947,Newtonian
110,-1.756970306223526,Newtonian
120,-1.7554479105355683,Newtonian
130,-1.754182133649705,Newtonian
140,-1.753113013786718,Newtonian
150,-1.7521979433945023,Newtonian
160,-1.7514058088530524,Newtonian
170,-1.7507133562541386,Newtonian
180,-1.750102854962186,Newtonian
190,-1.7495605483791246,Newtonian
200,-1.7490755987813709,Newtonian
210,-1.7486393515923138,Newtonian
220,-1.748244811635597,Newtonian
230,-1.7478862633462307,Newtonian
240,-1.7475589907783289,Newtonian
250,-1.747259068086308,Newtonian
260,-1.746983200609837,Newtonian
270,-1.7467286028496392,Newtonian
280,-1.7464929037111898,Newtonian
290,-1.7462740721599759,Newtonian
300,-1.7460703583345156,Newtonian
310,-1.7458802464917123,Newtonian
320,-1.745702417099754,Newtonian
330,-1.7455357160681975,Newtonian
340,-1.7453791295947332,Newtonian
350,-1.7452317634673415,Newtonian
360,-1.7450928259273124,Newtonian
370,-1.7449616133980428,Newtonian
380,-1.744837498535562,Newtonian
390,-1.7447199201715569,Newtonian
400,-1.7446083748081622,Newtonian
410,-1.74450240939206,Newtonian
420,-1.744401615148852,Newtonian
430,-1.7443056223004485,Newtonian
440,-1.7442140955213639,Newtonian
450,-1.744126730016044,Newtonian
460,-1.744043248120366,Newtonian
470,-1.7439633963473553,Newtonian
480,-1.7438869428108295,Newtonian
490,-1.7438136749717024,Newtonian
500,-1.7437433976607537,Newtonian
510,-1.7436759313391168,Newtonian
520,-1.7436111105637395,Newtonian
530,-1.7435487826302105,Newtonian
540,-1.7434888063694811,Newtonian
550,-1.7434310510784592,Newtonian
560,-1.7433753955674665,Newtonian
570,-1.7433217273098738,Newtonian
580,-1.743269941681382,Newtonian
590,-1.743219941278091,Newtonian
600,-1.7431716353040143,Newtonian
610,-1.7431249390199057,Newtonian
620,-1.7430797732463648,Newtonian
630,-1.743036063915085,Newtonian
640,-1.7429937416628785,Newtonian
650,-1.742952741463813,Newtonian
660,-1.7429130022953232,Newtonian
670,-1.7428744668347147,Newtonian
680,-1.7428370811828704,Newtonian
690,-1.742800794612353,Newtonian
700,-1.7427655593374252,Newtonian
710,-1.742731330303828,Newtonian
720,-1.7426980649962884,Newtonian
730,-1.7426657232621232,Newtonian
740,-1.7426342671493382,Newtonian
750,-1.7426036607578506,Newtonian
760,-1.7425738701026403,Newtonian
770,-1.742544862987699,Newtonian
780,-1.742516608889821,Newtonian
790,-1.7424890788513188,Newtonian
800,-1.7424622453809102,Newtonian
810,-1.74243608236204,Newtonian
820,-1.7424105649679789,Newtonian
830,-1.7423856695831594,Newtonian
840,-1.742361373730198,Newtonian
850,-1.74233765600211,Newtonian
860,-1.7423144959993464,Newtonian
870,-1.742291874271198,Newtonian
880,-1.742269772261251,Newtonian
890,-1.7422481722565721,Newtonian
900,-1.7422270573403016,Newtonian
910,-1.7422064113474225,Newtonian
920,-1.7421862188234525,Newtonian
930,-1.742166464985803,Newtonian
940,-1.7421471356876703,Newtonian
950,-1.7421282173841963,Newtonian
960,-1.7421096971007963,Newtonian
970,-1.7420915624034436,Newtonian
980,-1.7420738013708086,Newtonian
990,-1.7420564025680965,Newtonian
1000,-1.7420393550224733,Newtonian
1010,-1.7420226481999654,Newtonian
1020,-1.7420062719837364,Newtonian
1030,-1.7419902166536334,Newtonian
1040,-1.741974472866927,Newtonian
1050,-1.7419590316401738,Newtonian
1060,-1.7419438843321058,Newtonian
1070,-1.7419290226274813,Newtonian
1080,-1.7419144385218568,Newtonian
1090,-1.7419001243072023,Newtonian
1100,-1.7418860725582912,Newtonian
1110,-1.7418722761198606,Newtonian
1120,-1.7418587280944406,Newtonian
1130,-1.741845421830853,Newtonian
1140,-1.741832350913308,Newtonian
1150,-1.741819509151084,Newtonian
1160,-1.741806890568743,Newtonian
1170,-1.7417944893968476,Newtonian
1180,-1.7417823000631665,Newtonian
1190,-1.7417703171843082,Newtonian
1200,-1.7417585355577965,Newtonian
1210,-1.7417469501545242,Newtonian
1220,-1.7417355561116026,Newtonian
1230,-1.7417243487255338,Newtonian
1240,-1.7417133234457443,Newtonian
1250,-1.7417024758684152,Newtonian
1260,-1.7416918017306122,Newtonian
1270,-1.7416812969046929,Newtonian
1280,-1.741670957392991,Newtonian
1290,-1.741660779322727,Newtonian
1300,-1.7416507589411767,Newtonian
1310,-1.7416408926110514,Newtonian
1320,-1.7416311768060944,Newtonian
1330,-1.741621608106872,Newtonian
1340,-1.7416121831967628,Newtonian
1350,-1.7416028988581183,Newtonian
1360,-1.7415937519685996,Newtonian
1370,-1.7415847394976747,Newtonian
1380,-1.741575858503268,Newtonian
1390,-1.7415671061285523,Newtonian
1400,-1.7415584795988903,Newtonian
1410,-1.741549976218892,Newtonian
1420,-1.7415415933696106,Newtonian
1430,-1.7415333285058454,Newtonian
1440,-1.7415251791535726,Newtonian
1450,-1.7415171429074676,Newtonian
1460,-1.741509217428533,Newtonian
1470,-1.7415014004418414,Newtonian
1480,-1.7414936897343423,Newtonian
1490,-1.7414860831527803,Newtonian
1500,-1.7414785786016787,Newtonian
1510,-1.741471174041434,Newtonian
1520,-1.7414638674864453,Newtonian
1530,-1.7414566570033518,Newtonian
1540,-1.7414495407093153,Newtonian
1550,-1.7414425167703877,Newtonian
1560,-1.7414355833999375,Newtonian
1570,-1.7414287388571208,Newtonian
1580,-1.7414219814454364,Newtonian
1590,-1.7414153095113145,Newtonian
1600,-1.7414087214427731,Newtonian
1610,-1.741402215668114,Newtonian
1620,-1.7413957906546724,Newtonian
1630,-1.7413894449076157,Newtonian
1640,-1.741383176968781,Newtonian
1650,-1.7413769854155547,Newtonian
1660,-1.7413708688598022,Newtonian
1670,-1.7413648259468266,Newtonian
1680,-1.7413588553543617,Newtonian
1690,-1.7413529557916214,Newtonian
1700,-1.74134712599835,Newtonian
1710,-1.7413413647439389,Newtonian
1720,-1.7413356708265566,Newtonian
1730,-1.7413300430723084,Newtonian
1740,-1.741324480334431,Newtonian
1750,-1.7413189814925167,Newtonian
1760,-1.7413135454517552,Newtonian
1770,-1.7413081711422094,Newtonian
1780,-1.7413028575181158,Newtonian
1790,-1.7412976035571994,Newtonian
1800,-1.7412924082600187,Newtonian
1810,-1.7412872706493405,Newtonian
1820,-1.7412821897695132,Newtonian
1830,-1.7412771646858822,Newtonian
1840,-1.7412721944842189,Newtonian
1850,-1.7412672782701581,Newtonian
1860,-1.7412624151686615,Newtonian
1870,-1.7412576043235106,Newtonian
1880,-1.7412528448967914,Newtonian
1890,-1.7412481360684064,Newtonian
1900,-1.7412434770356087,Newtonian
1910,-1.7412388670125527,Newtonian
1920,-1.7412343052298376,Newtonian
1930,-1.7412297909340881,Newtonian
1940,-1.741225323387534,Newtonian
1950,-1.7412209018676124,Newtonian
1960,-1.7412165256665788,Newtonian
1970,-1.7412121940911267,Newtonian
1980,-1.741207906462016,Newtonian
1990,-1.74120366211373,Newtonian
2000,-1.7411994603941214,Newtonian
