k,tau_100,tau_200,tau_300,tau_400,tau_500,tau_600,tau_700,tau_800,tau_900,tau_1000,tau_1100,tau_1200,tau_1300,tau_1400,tau_1500,tau_1600,tau_1700,tau_1800,tau_1900,tau_2000,tau_2100,tau_2200,tau_2300,tau_2400,tau_2500,tau_2600,tau_2700,tau_2800,tau_2900,tau_3000,tau_3100,tau_3200,tau_3300,tau_3400,tau_3500,tau_3600,tau_3700,tau_3800,tau_3900,tau_4000,tau_4100,tau_4200,tau_4300,tau_4400,tau_4500,tau_4600,tau_4700,tau_4800,tau_4900,tau_5000
1.0,7500.973720295812,10867.831539583152,15629.417681203471,22070.10489518916,30895.301058085584,42049.56276787818,56219.87652191046,72826.60875837322,91331.89724105227,111887.83544444936,133621.89611816127,156679.26339324788,182692.62687863485,214391.34107438507,260598.0294079103,340534.9954372397,535023.6340934485,1.7919124647156405e6,1.023570495170138e7,2.313283458715195e7,3.5336598178382225e7,4.181163895304104e7,4.053835888163984e7,3.3949569311033346e7,2.7233699071297195e7,1.4063859066210812e7,3.249685829862095e6,85428.66550846073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2773.520456320091,2750.7878894282107,2595.7730507726487,2342.7616145239895,1958.1766211140155,1460.181480963123,932.927257071693,488.6754626702611,266.37923391754435,366.14551233772795,827.8315383094136,1561.9198079915589,2642.1744982054333,4217.13532740983,7443.694657155498,15955.700398432033,48223.39518395564,448670.7126230554,2.648811269428656e6,1.8744594167105472e6,226427.06914425638,2.407691064247292e6,6.340625261163787e6,5.892793741461974e6,1.6774202705580583e6,2.9503011600018037e6,1.840379299683064e6,76576.68303449705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,621.5718212711868,347.94668191173815,169.8911569157901,72.95102113486233,25.98035154285436,14.789411979862706,24.323394291400668,33.3011630607476,33.85135058800787,22.749632961845766,16.044784779611735,19.48247749296138,48.8792757324985,121.71568234051587,313.5960518805546,1100.5853781460946,6019.562506939904,141093.89924653046,314106.84596770664,249272.1678830801,1.5005174071300218e6,815888.2622626135,426981.0513579281,2.1026740462348456e6,1.5473639733898984e6,112777.72228953206,737111.9577379676,65181.92493677551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,88.6879767989112,25.980673708937896,7.220085330066783,2.2298014977930327,1.3292898235114785,1.2170273013120123,1.0337674425781598,1.0094875329978799,0.7932585037218576,0.8908229845694733,1.0588260666335454,1.5705927992492803,2.297080828303589,4.517228738621765,13.49196577952002,69.49313650583281,670.4745580268637,40990.88381634637,36301.46500642585,362020.9243006536,156186.02208827544,458441.06350327755,393794.733955726,503206.29709700705,464347.0293837217,355220.7364037029,116980.71796828503,49792.90757237476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.496607274556801,1.0502490377232654,0.8377542930241626,0.3426801248026167,0.350112440554384,0.32798355921797784,0.31972797230230293,0.267380191040777,0.28910253873392744,0.36724547478861647,0.2921270666881319,0.28272895562355643,0.2730945289445256,0.2088280837176324,0.39975421467373284,3.116146200349107,55.52226466820719,11219.827783928156,96345.29373785561,11217.311657084147,202576.59227366213,75993.0331753705,230291.8295439939,163844.95866419788,200237.82329268046,116263.69366495684,7784.408101798487,34348.742514817975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.996027465455421,0.5019499952231673,0.21743554225312273,0.12294397991905617,0.11539559537417361,0.19070269713524263,0.15119557483656826,0.13739858257085097,0.18384361057344872,0.10161128627277857,0.15082865464082804,0.1265035722960061,0.18800312910914352,0.12127064614811453,0.13347777361969299,0.4370237009924203,7.684718532730647,3932.789458830625,37583.20666693438,80751.19279353558,30769.064111117437,76486.46491221306,117880.44978770726,78256.668701008,99711.92175484415,26866.340931146777,43713.039388454185,22243.25062008833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.9655070005859192,0.0911698780451651,0.09249876483130416,0.10608091731754601,0.06413921510994142,0.051785237915860115,0.068778810513136,0.05356049298856765,0.06950699048344924,0.08677194484792353,0.08451157017054806,0.07333903015905777,0.060675963157013256,0.06384828159657037,0.09518685155721324,0.07468870198616462,1.0058890309437891,1362.7880095974274,1634.13857223686,12723.870450709692,51164.73315198083,65623.61267157158,31181.87109894546,34556.355450808114,63475.08235679731,43410.40688839268,30627.540677437344,12641.249838451206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.4460795900704972,0.041919760000435936,0.03223662488712816,0.03416685570664252,0.03377833918952008,0.039506267187394396,0.04592404195186998,0.035802506349413364,0.033439377070766184,0.033033641550974206,0.02497538828144881,0.03730561171744726,0.030708471797267028,0.023924733229550327,0.031770720256571815,0.033324189699239996,0.16284391554653918,512.7417210431662,8443.115912739417,14947.010889243831,10904.725014935468,11470.639506315425,24308.548181194114,40800.667456502306,37285.00509094551,16410.42183110776,9199.36796255974,6217.171632601517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.3298252884068978,0.016139187897032087,0.021072863190425384,0.015476776320423827,0.016381879268878508,0.015024605557747973,0.012887260577088118,0.012821240892273308,0.012786593955394202,0.01145080034199106,0.012795381046892592,0.01033495061716736,0.016055744984044447,0.01682657604290522,0.020867321628484804,0.012665113728529992,0.028133197105196503,179.32687263543545,9411.857717546529,12069.141516420645,14754.260778222306,18034.31863500059,19775.973813723347,20614.76570830325,15867.636971267662,5768.065872576482,1546.5032732317372,2125.4825083768314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.142708121223149,0.0065622074918699255,0.006701235782011718,0.007631215160456393,0.007163559662330345,0.007221343382675632,0.006948535056103379,0.00806727107696511,0.007129157988608333,0.005641900229880052,0.004775021859221544,0.004055974338303918,0.005822184576359037,0.004055876444106474,0.006568936882380817,0.005163817549795148,0.007447828664194093,61.56333040085476,1620.7482792430953,2411.2037414380916,7479.4394229263435,12797.930208943028,15952.970093413564,19200.484325217283,15004.119237818028,10720.971525746707,4461.289332129677,336.9687000828758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
